year,qtr,origin,dest,pc_hawaiian,pc_aloha,pc_go,pc_island,pc_other,mf_hawaiian,mf_aloha,mf_go,mf_island,mf_other
1995,2,KOA,OGG,54,103,0,0,0,45,53,NA,NA,NA
1995,2,KOA,LIH,21,100,0,0,0,42.01,42.01,NA,NA,NA
1995,2,KOA,ITO,4,8,0,0,0,32,28,NA,NA,NA
1995,2,LIH,HNL,51,266,0,0,3,35,49,NA,NA,54.5
1995,2,LIH,OGG,34,104,0,0,1,36,42.52,NA,NA,148.02
1995,2,LIH,KOA,16,105,0,0,0,42.01,47.99,NA,NA,NA
1995,2,LIH,ITO,16,65,0,0,0,56,38.51,NA,NA,NA
1995,2,ITO,HNL,36,164,0,0,0,35.995,51.49,NA,NA,NA
1995,2,ITO,OGG,62,93,0,0,0,42,53,NA,NA,NA
1995,2,ITO,KOA,57,8,0,0,0,44,28,NA,NA,NA
1995,2,ITO,LIH,18,66,0,0,0,42.01,38.51,NA,NA,NA
1995,3,HNL,OGG,58,339,0,1,55,25,53,NA,62,52
1995,3,HNL,KOA,60,278,0,0,3,45.23,56.01,NA,NA,107
1995,3,HNL,LIH,49,258,0,0,0,27,54.5,NA,NA,NA
1995,3,HNL,ITO,65,152,0,0,0,40,49.435,NA,NA,NA
1995,3,OGG,HNL,62,301,0,0,38,27.39,53,NA,NA,44
1995,3,OGG,KOA,66,74,0,0,0,51.43,42,NA,NA,NA
1995,3,OGG,LIH,28,113,0,0,0,53.81,55.99,NA,NA,NA
1995,3,OGG,ITO,55,85,0,0,0,45,38.5,NA,NA,NA
1995,3,KOA,HNL,69,302,0,0,3,46.49,56.01,NA,NA,96.57
1995,3,KOA,OGG,45,72,0,0,0,47,55.5,NA,NA,NA
1995,3,KOA,LIH,31,78,0,0,0,45.43,42.01,NA,NA,NA
1995,3,KOA,ITO,5,13,0,0,0,52,28,NA,NA,NA
1995,3,LIH,HNL,70,252,0,0,0,43,52.5,NA,NA,NA
1995,3,LIH,OGG,35,93,0,0,1,49.17,49.99,NA,NA,118.01
1995,3,LIH,KOA,30,66,0,0,0,45.995,58,NA,NA,NA
1995,3,LIH,ITO,23,61,0,0,0,56,38.13,NA,NA,NA
1995,3,ITO,HNL,52,166,0,0,0,35.745,53.01,NA,NA,NA
1995,3,ITO,OGG,35,78,0,0,0,47,38.5,NA,NA,NA
1995,3,ITO,KOA,2,15,0,0,0,44,28,NA,NA,NA
1995,3,ITO,LIH,23,76,0,0,0,42.01,42.01,NA,NA,NA
1995,4,HNL,OGG,38,388,0,0,73,42.28,54.25,NA,NA,46.5
1995,4,HNL,KOA,31,329,0,0,1,24.5,54.5,NA,NA,99.01
1995,4,HNL,LIH,60,322,0,0,0,50.325,49,NA,NA,NA
1995,4,HNL,ITO,39,231,0,0,0,57,53.01,NA,NA,NA
1995,4,OGG,HNL,79,362,0,0,52,35,54.5,NA,NA,42.25
1995,4,OGG,KOA,62,148,0,0,0,42,54.21,NA,NA,NA
1995,4,OGG,LIH,31,126,0,0,0,46.52,63.99,NA,NA,NA
1995,4,OGG,ITO,33,106,0,0,0,52.01,39.065,NA,NA,NA
1995,4,KOA,HNL,88,346,0,0,8,46,54.99,NA,NA,65.5
1995,4,KOA,OGG,50,107,0,0,0,44,52.5,NA,NA,NA
1995,4,KOA,LIH,36,85,0,0,0,36.99,46,NA,NA,NA
1995,4,KOA,ITO,0,11,0,0,0,NA,30,NA,NA,NA
1995,4,LIH,HNL,59,321,0,0,1,37.91,48.5,NA,NA,36.58
1995,4,LIH,OGG,22,87,0,0,1,52.5,72.44,NA,NA,148.02
1995,4,LIH,KOA,38,76,0,0,0,36.99,46,NA,NA,NA
1995,4,LIH,ITO,25,59,0,0,0,38.99,46.01,NA,NA,NA
1995,4,ITO,HNL,39,239,0,0,0,57,54.99,NA,NA,NA
1995,4,ITO,OGG,54,118,0,0,0,42,42,NA,NA,NA
1995,4,ITO,KOA,43,14,0,0,0,46,32,NA,NA,NA
1995,4,ITO,LIH,29,52,0,0,0,37.02,46.01,NA,NA,NA
1996,1,HNL,OGG,55,392,0,0,155,31.82,59,NA,NA,45
1996,1,HNL,KOA,34,348,0,0,0,39.01,59,NA,NA,NA
1996,1,HNL,LIH,34,345,0,0,0,33,56.5,NA,NA,NA
1996,1,HNL,ITO,38,215,0,0,0,40,53.01,NA,NA,NA
1996,1,OGG,HNL,86,373,0,1,111,47,58.5,NA,62,45
1996,1,OGG,KOA,50,204,0,0,0,41,42.5,NA,NA,NA
1996,1,OGG,LIH,12,142,0,0,0,47.905,61.73,NA,NA,NA
1996,1,OGG,ITO,56,113,0,0,0,40,46,NA,NA,NA
1996,1,KOA,HNL,56,404,0,0,3,58.75,59.5,NA,NA,65.99
1996,1,KOA,OGG,54,124,0,0,0,42,42.5,NA,NA,NA
1996,1,KOA,LIH,38,83,0,0,0,40,50.01,NA,NA,NA
1996,1,KOA,ITO,2,12,0,0,0,31.5,32,NA,NA,NA
1996,1,LIH,HNL,55,327,0,0,4,43,55,NA,NA,79.495
1996,1,LIH,OGG,9,145,0,0,0,61.79,59.51,NA,NA,NA
1996,1,LIH,KOA,18,67,0,0,0,42.995,50.01,NA,NA,NA
1996,1,LIH,ITO,4,59,0,0,0,47.505,46.01,NA,NA,NA
1996,1,ITO,HNL,63,198,0,0,0,39.01,52.76,NA,NA,NA
1996,1,ITO,OGG,25,99,0,0,0,42,46,NA,NA,NA
1996,1,ITO,KOA,55,9,0,0,0,46,32,NA,NA,NA
1996,1,ITO,LIH,18,61,0,0,0,38,46.01,NA,NA,NA
1996,2,HNL,OGG,50,361,0,0,116,31.82,60.5,NA,NA,50
1996,2,HNL,KOA,33,312,0,0,0,39.01,60.245,NA,NA,NA
1996,2,HNL,LIH,32,307,0,0,0,35,53.01,NA,NA,NA
1996,2,HNL,ITO,37,188,0,0,0,40,54.99,NA,NA,NA
1996,2,OGG,HNL,69,353,0,0,112,47,60,NA,NA,50
1996,2,OGG,KOA,53,206,0,0,0,41,48,NA,NA,NA
1996,2,OGG,LIH,13,165,0,0,0,36,59,NA,NA,NA
1996,2,OGG,ITO,56,127,0,0,0,40,40.99,NA,NA,NA
1996,2,KOA,HNL,38,352,0,0,1,50,60.99,NA,NA,34
1996,2,KOA,OGG,50,161,0,0,0,41,48,NA,NA,NA
1996,2,KOA,LIH,38,98,0,0,1,40,47.99,NA,NA,155.99
1996,2,KOA,ITO,2,15,0,0,0,31.5,32,NA,NA,NA
1996,2,LIH,HNL,47,278,0,0,1,40.6,49.5,NA,NA,39.92
1996,2,LIH,OGG,9,135,0,0,2,61.79,57.99,NA,NA,142.005
1996,2,LIH,KOA,18,101,0,0,0,42.995,58.99,NA,NA,NA
1996,2,LIH,ITO,4,76,0,0,0,47.505,38.575,NA,NA,NA
1996,2,ITO,HNL,65,204,0,0,0,40,59.495,NA,NA,NA
1996,2,ITO,OGG,25,133,0,0,0,42,43.8,NA,NA,NA
1996,2,ITO,KOA,55,13,0,0,0,46,32,NA,NA,NA
1996,2,ITO,LIH,18,73,0,0,0,38,42.01,NA,NA,NA
1996,3,HNL,OGG,61,378,0,0,54,54,57,NA,NA,70
1996,3,HNL,KOA,89,284,0,0,2,54.99,60.99,NA,NA,47.505
1996,3,HNL,LIH,100,361,0,0,0,53.68,52.5,NA,NA,NA
1996,3,HNL,ITO,47,227,0,0,0,46.01,53.01,NA,NA,NA
1996,3,OGG,HNL,73,378,0,0,52,49,57,NA,NA,69.25
1996,3,OGG,KOA,30,165,0,0,0,42,55.6,NA,NA,NA
1996,3,OGG,LIH,13,198,0,0,0,48,61,NA,NA,NA
1996,3,OGG,ITO,61,116,0,0,0,42,48,NA,NA,NA
1996,3,KOA,HNL,108,317,0,0,3,78.995,60.99,NA,NA,34
1996,3,KOA,OGG,32,131,0,0,0,41,60,NA,NA,NA
1996,3,KOA,LIH,26,91,0,0,0,50.5,52.99,NA,NA,NA
